data_pt,px,py,dataset,num_points,q_min,q_max,filename
1,-31.5,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0001_bkgdSub_1D.csv
2,-31.5,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0002_bkgdSub_1D.csv
3,-31.5,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0003_bkgdSub_1D.csv
4,-31.5,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0004_bkgdSub_1D.csv
5,-31.5,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0005_bkgdSub_1D.csv
6,-27.0,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0006_bkgdSub_1D.csv
7,-27.0,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0007_bkgdSub_1D.csv
8,-27.0,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0008_bkgdSub_1D.csv
9,-27.0,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0009_bkgdSub_1D.csv
10,-27.0,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0010_bkgdSub_1D.csv
11,-27.0,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0011_bkgdSub_1D.csv
12,-27.0,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0012_bkgdSub_1D.csv
13,-27.0,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0013_bkgdSub_1D.csv
14,-27.0,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0014_bkgdSub_1D.csv
15,-22.5,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0015_bkgdSub_1D.csv
16,-22.5,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0016_bkgdSub_1D.csv
17,-22.5,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0017_bkgdSub_1D.csv
18,-22.5,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0018_bkgdSub_1D.csv
19,-22.5,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0019_bkgdSub_1D.csv
20,-22.5,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0020_bkgdSub_1D.csv
21,-22.5,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0021_bkgdSub_1D.csv
22,-22.5,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0022_bkgdSub_1D.csv
23,-22.5,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0023_bkgdSub_1D.csv
24,-22.5,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0024_bkgdSub_1D.csv
25,-22.5,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0025_bkgdSub_1D.csv
26,-18.0,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0026_bkgdSub_1D.csv
27,-18.0,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0027_bkgdSub_1D.csv
28,-18.0,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0028_bkgdSub_1D.csv
29,-18.0,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0029_bkgdSub_1D.csv
30,-18.0,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0030_bkgdSub_1D.csv
31,-18.0,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0031_bkgdSub_1D.csv
32,-18.0,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0032_bkgdSub_1D.csv
33,-18.0,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0033_bkgdSub_1D.csv
34,-18.0,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0034_bkgdSub_1D.csv
35,-18.0,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0035_bkgdSub_1D.csv
36,-18.0,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0036_bkgdSub_1D.csv
37,-18.0,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0037_bkgdSub_1D.csv
38,-18.0,-27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0038_bkgdSub_1D.csv
39,-13.5,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0039_bkgdSub_1D.csv
40,-13.5,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0040_bkgdSub_1D.csv
41,-13.5,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0041_bkgdSub_1D.csv
42,-13.5,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0042_bkgdSub_1D.csv
43,-13.5,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0043_bkgdSub_1D.csv
44,-13.5,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0044_bkgdSub_1D.csv
45,-13.5,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0045_bkgdSub_1D.csv
46,-13.5,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0046_bkgdSub_1D.csv
47,-13.5,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0047_bkgdSub_1D.csv
48,-13.5,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0048_bkgdSub_1D.csv
49,-13.5,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0049_bkgdSub_1D.csv
50,-13.5,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0050_bkgdSub_1D.csv
51,-13.5,-27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0051_bkgdSub_1D.csv
52,-9.0,31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0052_bkgdSub_1D.csv
53,-9.0,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0053_bkgdSub_1D.csv
54,-9.0,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0054_bkgdSub_1D.csv
55,-9.0,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0055_bkgdSub_1D.csv
56,-9.0,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0056_bkgdSub_1D.csv
57,-9.0,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0057_bkgdSub_1D.csv
58,-9.0,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0058_bkgdSub_1D.csv
59,-9.0,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0059_bkgdSub_1D.csv
60,-9.0,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0060_bkgdSub_1D.csv
61,-9.0,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0061_bkgdSub_1D.csv
62,-9.0,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0062_bkgdSub_1D.csv
63,-9.0,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0063_bkgdSub_1D.csv
64,-9.0,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0064_bkgdSub_1D.csv
65,-9.0,-27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0065_bkgdSub_1D.csv
66,-9.0,-31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0066_bkgdSub_1D.csv
67,-4.5,31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0067_bkgdSub_1D.csv
68,-4.5,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0068_bkgdSub_1D.csv
69,-4.5,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0069_bkgdSub_1D.csv
70,-4.5,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0070_bkgdSub_1D.csv
71,-4.5,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0071_bkgdSub_1D.csv
72,-4.5,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0072_bkgdSub_1D.csv
73,-4.5,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0073_bkgdSub_1D.csv
74,-4.5,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0074_bkgdSub_1D.csv
75,-4.5,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0075_bkgdSub_1D.csv
76,-4.5,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0076_bkgdSub_1D.csv
77,-4.5,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0077_bkgdSub_1D.csv
78,-4.5,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0078_bkgdSub_1D.csv
79,-4.5,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0079_bkgdSub_1D.csv
80,-4.5,-27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0080_bkgdSub_1D.csv
81,-4.5,-31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0081_bkgdSub_1D.csv
82,0.0,31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0082_bkgdSub_1D.csv
83,0.0,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0083_bkgdSub_1D.csv
84,0.0,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0084_bkgdSub_1D.csv
85,0.0,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0085_bkgdSub_1D.csv
86,0.0,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0086_bkgdSub_1D.csv
87,0.0,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0087_bkgdSub_1D.csv
88,0.0,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0088_bkgdSub_1D.csv
89,0.0,0.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0089_bkgdSub_1D.csv
90,0.0,-4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0090_bkgdSub_1D.csv
91,0.0,-9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0091_bkgdSub_1D.csv
92,0.0,-13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0092_bkgdSub_1D.csv
93,0.0,-18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0093_bkgdSub_1D.csv
94,0.0,-22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0094_bkgdSub_1D.csv
95,0.0,-27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0095_bkgdSub_1D.csv
96,0.0,-31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0096_bkgdSub_1D.csv
97,4.5,31.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0097_bkgdSub_1D.csv
98,4.5,27.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0098_bkgdSub_1D.csv
99,4.5,22.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0099_bkgdSub_1D.csv
100,4.5,18.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0100_bkgdSub_1D.csv
101,4.5,13.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0101_bkgdSub_1D.csv
102,4.5,9.0,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0102_bkgdSub_1D.csv
103,4.5,4.5,TiNiSn_500C,1000,1,8,TiNiSn_500C_Y20190218_14x14_t60_0103_bkgdSub_1D.csv
